Month,Route,Service Category,Service Day of the Week,Average Daily Boardings
May 2019,1,Bus,Weekday,"2,799"
May 2019,12,Bus,Weekday,"2,726"
May 2019,14,Bus,Weekday,"2,816"
May 2019,15,Bus,Weekday,"2,786"
May 2019,18,Bus,Weekday,"2,736"
May 2019,19,Bus,Weekday,"2,818"
May 2019,2,Bus,Weekday,"2,759"
May 2019,22,Bus,Weekday,"2,760"
May 2019,23,Bus,Weekday,"2,791"
May 2019,24,Bus,Weekday,"2,773"
May 2019,25,Bus,Weekday,"2,776"
May 2019,27,Bus,Weekday,"2,763"
May 2019,28,Bus,Weekday,"2,771"
May 2019,29,Bus,Weekday,"2,802"
May 2019,30,Bus,Weekday,"2,741"
May 2019,31,Bus,Weekday,"2,775"
May 2019,33,Bus,Weekday,"2,803"
May 2019,35,Bus,Weekday,"2,781"
May 2019,36,Bus,Weekday,"2,808"
May 2019,37,Bus,Weekday,"2,752"
May 2019,38,Bus,Weekday,"2,736"
May 2019,39,Bus,Weekday,"2,773"
May 2019,43,Bus,Weekday,"2,801"
May 2019,44,Bus,Weekday,"2,820"
May 2019,45,Bus,Weekday,"2,758"
May 2019,48,Bus,Weekday,"2,758"
May 2019,49,Bus,Weekday,"2,787"
May 2019,5,Bus,Weekday,"2,757"
May 2019,52,Bus,Weekday,"2,749"
May 2019,54,Bus,Weekday,"2,793"
May 2019,55,Bus,Weekday,"2,757"
May 2019,56,Bus,Weekday,"2,745"
May 2019,57,Bus,Weekday,"2,777"
May 2019,58,Bus,Weekday,"2,766"
May 2019,6,Bus,Weekday,"2,737"
May 2019,66,Bus,Weekday,"2,784"
May 2019,67,Bus,Weekday,"2,797"
May 2019,7,Bus,Weekday,"2,770"
May 2019,8,Bus,Weekday,"2,735"
May 2019,9,Bus,Weekday,"2,794"
May 2019,90,Bus,Weekday,"2,801"
May 2019,91,Bus,Weekday,"2,764"
May 2019,14R,Bus,Weekday,"2,790"
May 2019,1X,Bus,Weekday,"2,748"
May 2019,28R,Bus,Weekday,"2,786"
May 2019,30X,Bus,Weekday,"2,795"
May 2019,38R,Bus,Weekday,"2,786"
May 2019,5R,Bus,Weekday,"2,767"
May 2019,8AX,Bus,Weekday,"2,799"
May 2019,8BX,Bus,Weekday,"2,828"
May 2019,9R,Bus,Weekday,"2,772"
May 2019,KBUS,Bus,Weekday,"2,837"
May 2019,LOWL,Bus,Weekday,"2,781"
May 2019,NBUS,Bus,Weekday,"2,767"
